Journal name,JCR Abbreviation,2025 JIF,2024 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category
ADVANCED MATERIALS,ADV MATER,29.1,26.8,29.6,Q1,27.6,6.2,3363,540001,"CHEMISTRY, MULTIDISCIPLINARY|CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER"
Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,29,30.7,28.9,Q1,28.9,4.5,0,6578,"PHYSICS, CONDENSED MATTER"
Military Medical Research,MILITARY MED RES,29,22.9,24.1,Q1,28.4,4.3,43,7682,"MEDICINE, GENERAL & INTERNAL"
NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,29,26.7,38,Q1,28.9,5.5,0,54187,NEUROSCIENCES
Cancer Communications,CANCER COMMUN,28.4,24.9,31.4,Q1,28.2,4.4,36,9938,ONCOLOGY
NATURE METHODS,NAT METHODS,28.3,32.1,52.5,Q1,27.4,5.5,216,142000,BIOCHEMICAL RESEARCH METHODS
Nature Cancer,NAT CANCER,28,28.5,31.2,Q1,27.8,7,103,14846,ONCOLOGY
Nature Metabolism,NAT METAB,27.5,20.8,28.5,Q1,27,6.6,134,20014,ENDOCRINOLOGY & METABOLISM
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,27.5,29.5,31,Q1,27.3,6.8,0,41071,"PHYSICS, MULTIDISCIPLINARY"
FUNGAL DIVERSITY,FUNGAL DIVERS,27,24.8,31.2,Q1,23.9,7.2,20,8588,MYCOLOGY
Opto-Electronic Science,OPTO-ELECTRON SCI,26.9,NA,21.7,Q1,26.1,4,19,1733,OPTICS
Nature Climate Change,NAT CLIM CHANGE,26.9,27.1,35.6,Q1,26.3,5.8,142,61754,ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES|METEOROLOGY & ATMOSPHERIC SCIENCES
Advanced Powder Materials,ADV POWDER MATER,26.8,24.9,25.2,Q1,25.7,6.3,66,3909,"CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY"
Lancet Public Health,LANCET PUBLIC HEALTH,26.5,25.2,32.8,Q1,26.1,6.6,76,17385,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
NATURE IMMUNOLOGY,NAT IMMUNOL,26.5,27.6,29.1,Q1,25.9,5.1,146,59614,IMMUNOLOGY
Annual Review of Plant Biology,ANNU REV PLANT BIOL,26.4,26.5,32.2,Q1,26.4,8.2,0,25778,PLANT SCIENCES
Nature Biomedical Engineering,NAT BIOMED ENG,26.3,26.6,32.6,Q1,26.1,4.2,164,24906,"ENGINEERING, BIOMEDICAL"
JAMA Internal Medicine,JAMA INTERN MED,26.3,23.3,22.9,Q1,25.5,7.1,104,28116,"MEDICINE, GENERAL & INTERNAL"
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,26.1,30.2,34.4,Q1,26,17.2,0,20336,"MECHANICS|PHYSICS, FLUIDS & PLASMAS"
COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,25.6,23.5,23.7,Q1,23.9,5.3,4,86303,"CHEMISTRY, INORGANIC & NUCLEAR"
Lancet Digital Health,LANCET DIGIT HEALTH,25.5,24.1,29.8,Q1,25.3,4.6,65,11618,"MEDICAL INFORMATICS|MEDICINE, GENERAL & INTERNAL"
Science Robotics,SCI ROBOT,25.5,27.5,33.3,Q1,24.8,3.6,76,17521,ROBOTICS
NATURE GENETICS,NAT GENET,25.5,29,35.3,Q1,24.8,5.3,246,114115,GENETICS & HEREDITY
Advanced Energy Materials,ADV ENERGY MATER,25.5,26,26,Q1,24.5,5.4,920,174452,"CHEMISTRY, PHYSICAL|ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER"
TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,25.3,18.1,22.6,Q1,25.2,8.4,13,21812,CELL BIOLOGY
Journal of the National Cancer Center,J NATL CANCER CTR,25.2,9.4,19.9,Q1,24.9,3.6,38,2638,ONCOLOGY
